orderId,retailer,orderDate,currentStoredUrl,actualReturnUrl,howIFoundIt,dataNeededToStart,authRequired,notes
cmru5viic0009w97c9q00zh0c,H&M,2026-07-21,https://www2.hm.com/en_us/customer-service/returns/online-purchases.html,,,,,
cmsgcmfr20003jz043o1t38n2,Julia Amory,2026-08-05,https://returns.juliaamory.com/,,,,,
cmtaagn2o0003kz04z5uf0rol,Julia Amory,2026-08-26,https://returns.juliaamory.com/,,,,,
cmr00604q0003kv04m0crwz5x,Loeffler Randall,2026-06-29,https://returns.loefflerrandall.com/?syclid=7bac9b5e-5bf8-44e3-baf9-4e2848bad834,,,,,
cmteyx9mg0003l904xnx0wnx8,Margaux,2026-08-29,https://margauxny.loopreturns.com/#/,,,,,
cmstaspxk0003jr04yxdnoxx7,Market Hall Foods,2026-08-14,https://www.markethallfoods.com/pages/customer-service,,,,,
cms6rv189000nkv04ahclfstm,NET-A-PORTER,2026-07-25,https://www.net-a-porter.com/en-us/content/help/exchanges-and-returns/,,,,,
cmsf8rx8c000dw9xblymhm5yw,NET-A-PORTER,2026-08-03,https://www.net-a-porter.com/en-us/content/help/exchanges-and-returns/,,,,,
cmt69da620003jr04bjht9wpi,NET-A-PORTER,2026-08-23,https://www.net-a-porter.com/en-us/content/help/exchanges-and-returns/,,,,,
cmslx0ljg0003l404ywv9yoa1,Nordstrom,2026-08-09,https://click.eml.nordstrom.com/?qs=ABB7InYiOjEsImQiOjQ5NjV9AAoAAAAAA6QWmZY74e0Vr5BxHI7NUlgfxEl4JAhRDn960870Na4b7YbLsKUXfofAu5V2H6zlf5mHd66-qX-GNin9B2MGGWF5AOmDJNJpkwrvWChA6d_hn6PO8w,,,,,
cmsf0uowt0003l8042s48knnc,Oak Valley,2026-08-04,https://oakvalleydesigns.com/pages/return-request-form,,,,,
cmtjcke2d0005jp04j4t1uyab,Rufflebutts + Ruggedbutts,2026-08-31,https://www.rufflebutts.com/returns,,,,,
cmt0igyn70003jp04ikjbwpz6,Shopbop,2026-08-19,https://www.shopbop.com/s/account,,,,,
cmtfzrc5y0003lb0417quupfg,Shopbop,2026-08-30,https://www.shopbop.com/s/account,,,,,
cms89n1cm0003l604f625vuoe,SSENSE,2026-07-30,https://www.ssense.com/en-us/guest/self-serve,,,,,
cmsfhhlbl0003lc047rzt1uwm,Target,2026-08-05,https://click.oe.target.com/?qs=ABB7InYiOjEsImQiOjQ5NjN9AAcAAAAABQn_CHPQ6ldln_4Upsa3hGe6ujmgRaAN5jlJvXARWGOihywAsib5IOvPgQ8GCeE0cuOWMdVzHjDmSlRcy_at9VT9SCv9dTDPQSFJwIJjRUW75Xoa,,,,,
cmtbn4j5h0007jr04budop6kr,Target,2026-08-27,https://click.oe.target.com/?qs=ABB7InYiOjEsImQiOjQ5ODF9AAcAAAAABc0Co9yJiMKJY-t46UxVByrlqTjJ8VIBV87acgblzXLdoc61gRDf3Zz41he7vKH2cudtyK8ur9031vpblVYpK4yIX4yZ4w3NkCtDwuI,,,,,
cmr1ldz37000bjs045jeemqxz,Tea Collection,2026-05-22,https://www.teacollection.com/order/returns-exchanges,,,,,
cmsm3bxhh0003js04fmocudc3,The RealReal,2026-08-09,https://app.myreturnwindow.com/orders/cmsm3bxhh0003js04fmocudc3,,,,,
cmst2keat0003l504ctuu57q0,The RealReal,2026-08-14,https://www.therealreal.com/returns,,,,,
cmsvzhb8k0003jz04f2z3h3dz,The RealReal,2026-08-16,https://app.myreturnwindow.com/orders/cmsvzhb8k0003jz04f2z3h3dz,,,,,
cmsnbxo2d0007l104ysd75ggz,Vespoli Online Store,2026-08-10,https://store.vespoli.com/pages/returns,,,,,
cmsnbxf1y0005l1047qablyfz,Vespoli USA Inc,2026-08-10,https://store.vespoli.com/pages/returns,,,,,
cmt7fxe740003ld04arvg4xx6,Wayfair,2026-08-24,https://www.wayfair.com/my-account/orders,,,,,
cmt9hs6yw0001l604vj8v8395,Zara,2026-08-16,https://www.zara.com/us/en/help-center/HowToReturn,,,,,
